read_id	exon_left	exon_left_len	exon_left_start_pos_align	exon_left_end_pos_align	exon_left_read_end_pos_align	exon_right	exon_right_len	exon_right_start_pos_align	exon_right_end_pos_align	read_count	exon_comb_short_rc	exon_right_read_start_pos_align	exon_comb_type	exon_left_miss	exon_right_miss	exon_join	exon_order	gap	exon_exon_gap_corrected
read_00004	1	57	1	57	57	2	168	1	168	3	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00004	2	168	1	168	225	3	130	1	26	3	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00004	3	130	1	26	251	16	101	45	101	3	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00004	16	101	45	101	306	17	147	1	147	3	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00004	17	147	1	147	453	18	102	1	97	3	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00005	1	57	2	57	56	2	168	1	168	6	1-3,16-18	57	1	0	0	1-2	1	0	0
read_00005	2	168	1	168	224	3	130	1	26	6	1-3,16-18	225	1	0	0	2-3	2	0	0
read_00005	3	130	1	26	250	16	101	45	101	6	1-3,16-18	249	0	104	44	3-16	3	-2	0
read_00005	16	101	45	101	305	17	147	1	147	6	1-3,16-18	306	1	0	0	16-17	4	0	0
read_00005	17	147	1	147	452	18	102	1	102	6	1-3,16-18	453	1	0	0	17-18	5	0	0
read_00006	1	57	1	57	57	2	168	2	168	1	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00006	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00006	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
